Business Process Description,GRC Business Process ID,Sub Process Description,GRC Sub Process ID,Business Role,Intended Use,Long Description,Character count,BR Key Word Search
Plan and Manage Business,FI00,Adminstrative,ADMN,CLX_FINANCE DISPLAY,Display various finance SAP reports,Plan and Manage Business-Adminstrative-CLX_FINANCE DISPLAY-Display various finance SAP reports,94,FINANCE DISPLAY
Order to Cash,SD00,AR,AR00,CLX_O2C AR PROCESSING TEAM LEAD,"PSO: Ensure Supply: O2C: AR Corp. team leader with view and edit capabilities to common display transactions, GL document processing, outbound deliveries and sales orders.","Order to Cash-AR-CLX_O2C AR PROCESSING TEAM LEAD-PSO: Ensure Supply: O2C: AR Corp. team leader with view and edit capabilities to common display transactions, GL document processing, outbound deliveries and sales orders.",220,O2C AR PROCESSING TEAM LEAD
Order to Cash,SD00,AR,AR00,CLX_O2C AR REVENUE COORDINATOR,"PSO:Ensure Supply: O2C- Corp. Revenue coordinator with view to many common display transactions, GL document processing, Shipments and Billing documentation.","Order to Cash-AR-CLX_O2C AR REVENUE COORDINATOR-PSO:Ensure Supply: O2C- Corp. Revenue coordinator with view to many common display transactions, GL document processing, Shipments and Billing documentation.",205,O2C AR REVENUE COORDINATOR
Order to Cash,SD00,AR,AR00,CLX_O2C ARA DEDUCTION SPECIALIST,"Pso: Ensure Supply: O2C: Corp. AR deduction Specialist with view and edit access to many common display transactions, customer cash application and posting.","Order to Cash-AR-CLX_O2C ARA DEDUCTION SPECIALIST-Pso: Ensure Supply: O2C: Corp. AR deduction Specialist with view and edit access to many common display transactions, customer cash application and posting.",206,O2C ARA DEDUCTION SPECIALIST
Manage Information Technology,BS00,BASIS,,CLX_EDI INTEGRATION ADMINISTRATOR,Pending,Manage Information Technology-BASIS-CLX_EDI INTEGRATION ADMINISTRATOR-Pending,77,EDI INTEGRATION ADMINISTRATOR
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_CORPORATE ACCOUNTANT,Manage GL accounts including create/post journal entries and display SAP reports,Plan and Manage Business-Corporate Accounting-CLX_CORPORATE ACCOUNTANT-Manage GL accounts including create/post journal entries and display SAP reports,151,CORPORATE ACCOUNTANT
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_CORPORATE ACCOUNTING MANAGER,"Monitor, analyze accounting data and display SAP reports","Plan and Manage Business-Corporate Accounting-CLX_CORPORATE ACCOUNTING MANAGER-Monitor, analyze accounting data and display SAP reports",135,CORPORATE ACCOUNTING MANAGER
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_CORPORATE EBE ACCOUNTANT,"Handle EBE GL accounts including create, change, post journal entries,  and display SAP reports","Plan and Manage Business-Corporate Accounting-CLX_CORPORATE EBE ACCOUNTANT-Handle EBE GL accounts including create, change, post journal entries,  and display SAP reports",170,CORPORATE EBE ACCOUNTANT
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_CORPORATE EBE ACCOUNTING  MANAGER,"Monitor, analyze EBE accounting data and produce analysis reports","Plan and Manage Business-Corporate Accounting-CLX_CORPORATE EBE ACCOUNTING  MANAGER-Monitor, analyze EBE accounting data and produce analysis reports",149,CORPORATE EBE ACCOUNTING  MANAGER
Plan and Manage Business,FI00,Corporate Accounting,ACCT,CLX_CORPORATE REPORTING,"Analyze accounting data,display SAP reports and produce financial or accounting analysis reports","Plan and Manage Business-Corporate Accounting-CLX_CORPORATE REPORTING-Analyze accounting data,display SAP reports and produce financial or accounting analysis reports",166,CORPORATE REPORTING
